,shap_importance
is_morning_ramp,0.01271057433222349
uk_jump_count_24h,0.011672902525738483
flow_uk-fr-2_la,0.01048270550457953
fr_thermal_need_cubed_pos,0.009435889067998143
iberian_solar,0.00912223653415918
fr_jump_count_24h,0.008754345502489212
is_holiday_fr,0.008740588036334259
is_solar_hours,0.008506259954541254
is_holiday_be,0.006811221015635265
month,0.006568417085483061
is_holiday_or_weekend_fr,0.0061147116312956174
month_sin,0.005733778726575232
fr_scarcity_critical,0.005582076863085389
atc_dk1-uk_f,0.004976405377619165
dk1_uk_net_flow_la,0.0049239814188509696
week_of_year,0.004034933125694614
uk_fr_ntc_total,0.003138972721773092
fr_rhine_temp_excess,0.002935761055643892
ntc_dk1-uk_f,0.002783573909855145
fr_uk_ntc_total,0.0021881440381816522
ntc_uk-be_f,0.0008789455924314461
ntc_uk-nl_f,0.0005677713002085935
ntc_fr-uk-1_f,0.00047233233568570753
is_bridge_day_fr,0.0003028474107922853
ntc_uk-fr-1_f,0.0
fr_asinh_spark,0.0
fr_any_river_hot,0.0
de_any_river_hot,0.0
is_night,0.0
ntc_fr-uk-2_f,0.0
ntc_uk-fr-2_f,0.0
ntc_fr-uk-3_f,0.0
is_holiday_de,0.0
fr_nuclear_very_low,0.0
fr_nuclear_low,0.0
is_holiday_uk,0.0
fr_hot_river_x_nuclear_low,0.0
fr_scarcity_extreme,0.0
quarter,0.0
uk_scarcity_extreme,0.0
de_danube_hot_ingolstadt,0.0
de_danube_hot_donauworth,0.0
atc_uk-dk1_f,0.0
fr_rhine_hot,0.0
total_net_import_uk_la,0.0
fr_rhone_hot,0.0
ntc_uk-fr-3_f,0.0
fr_uk_congested,0.0
uk_fr_congested,0.0
any_direction_congested,0.0
uk_wind_very_high,0.0
flow_dk1-uk_la,0.0
uk_scarcity_critical,0.0
ntc_uk-dk1_f,0.0
